numberOfPeople,numberOfChildren,squareMeters,homeType,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,CABLE_BOX,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,TOASTER,HOME_BATTERY,MICROWAVE,IRON,GRILL,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,energy
1.0,0.0,76.0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,278.73228653891147
5.0,0.0,140.0,1,0,4,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,5,1,0,1120.2057122332042
1.0,0.0,50.0,1,0,2,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,261.28743831494114
1.0,0.0,100.0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,2,1,1,508.8191841694799
1.0,0.0,77.0,1,0,3,1,0,0,3,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,624.2283312301593
1.0,0.0,75.0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,242.9192910607147
5.0,3.0,100.0,0,0,1,1,2,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,663.1061713570589
2.0,0.0,210.0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1653.7048939551746
4.0,2.0,150.0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,484.9381458926538
1.0,0.0,69.0,1,0,2,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,547.6052141722001
2.0,0.0,62.0,1,0,2,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,821.2058226731589
4.0,0.0,138.0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1278.8321692794443
4.0,2.0,96.0,1,0,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,660.4998240265687
2.0,0.0,65.0,1,0,2,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,2,1,1,1162.3921939247912
1.0,0.0,42.0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,228.5402468628714
2.0,0.0,80.0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,2,1,0,355.31622590336667
2.0,0.0,125.0,0,0,4,1,0,0,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,793.945228381392
1.0,0.0,109.48771266540643,0,0,3,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,486.4990288277874
2.0,0.0,26.0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,387.2060618405751
3.0,0.0,240.0,1,0,2,1,1,0,0,2,2,1,0,2,0,1,1,0,2,1,0,2,0,2,0,1010.87797454655
3.0,1.0,40.0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,3,1,0,600.6424076679353
2.0,0.0,80.0,1,1,2,1,1,0,2,2,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,524.8991464125693
4.0,1.0,21.0,1,0,3,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1076.034036242804
2.0,0.0,88.0,1,0,2,1,0,0,1,1,1,0,1,1,2,0,1,0,1,1,2,1,2,1,0,549.3087333029857
2.0,1.0,45.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,250.91414742480967
1.0,0.0,90.0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,215.68677200260288
1.0,0.0,76.0,1,0,2,1,0,0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,561.8442282467046
2.0,0.0,75.0,1,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,1,0,1,2,1,0,286.32823398578
1.0,0.0,60.0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,714.23694269915
1.0,0.0,60.0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,321.5667150914857
2.0,0.0,87.0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,531.4733884161751
2.0,0.0,110.0,1,0,2,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,743.0888047647704
2.0,0.0,100.0,0,1,2,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,900.5802134048228
2.0,0.0,65.0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,536.0075522321841
5.0,3.0,195.0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1034.2216202376676
4.0,2.0,90.0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,2,0,1,858.0081574883001
3.0,1.0,185.0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,614.7346019628686
8.0,0.0,109.48771266540643,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,186.71062018297147
3.0,1.0,120.0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1012.1808763806292
