userId,numberOfPeople,numberOfChildren,squareMeters,homeType,heatingTypes,waterHeaterTypes,coolingType,heatingTypeOther,waterHeaterTypeOther,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,HEAT_PUMP,CABLE_BOX,FRIDGE_COMBO,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,POOL_PUMP,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,FLOW_WATER_HEATER,TOASTER,HOME_BATTERY,MICROWAVE,IRON,TABLET,HEATING_FAN,GRILL,DVD,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,OTHERS
6551fc31f11d3d41538561fa3b7a23d2181a954ebf473af2e1ee9949d1b024d7,2,,76,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,PORTABLE_AIR_CONDITIONER,,,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,1,1,1,0,0
169ac0fdf81f666c7c2d9f13122fc071235b09909e9b4ecdf4247c172c4cb84c,3,0,95,MULTI_FAMILY,GAS,GAS,NONE,,,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0
fc5769f3aa3f473bcc128f09326ab3a7a0f5a072979023e22abf1567e648fd6e,2,0,120,MULTI_FAMILY,,CENTRAL_HEATING;GAS,NONE,,,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0
a24d250638082d88fd169362db3f8e486ecf7b146b3afb7a3eb6b9c16753260a,1,0,90,SINGLE_FAMILY,GAS,FLOW_WATER_HEATER,NONE,,,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0
2d6b61dbb3dead1a08b345f3135c6fd142170d30e50ed20b208a7f1d8cefad83,2,0,200,SINGLE_FAMILY,WOOD;GAS,FLOW_WATER_HEATER,NONE,,,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0
bc2183a9c543151276f9b07d05cceef9c08a07eca56543a6b442abbd17106f6d,2,0,88,MULTI_FAMILY,CENTRAL,FLOW_WATER_HEATER,NONE,,,0,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1
ce1dafae352509ee757694d14a61f38e7af536802d4680bd896a351db70495b4,3,1,72,MULTI_FAMILY,CENTRAL,FLOW_WATER_HEATER,NONE,,,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2,0,0,0,1,1,1,0,1
e15a1f3a36949ea33371857c483b97dc72279d3c86a8e5d891ffd0100599e69e,1,0,75,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0
c5a9e87e054a85a6884ce05dcb0a08a66bb2d3c124e85aecb350b911dd76fa06,1,0,60,SINGLE_FAMILY,CENTRAL,,,,,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
9ea69b00940f8ecea90be4c862e6599e21f9a60d4df92d7ec5c01d49e618533b,2,0,140,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0
